Taxa,longitude,latitude
Macrocystis,153.189722,-30.175833
Macrocystis,-71.52992892,-32.16736403
Macrocystis,-71.45473,-32.55487
Macrocystis,17.860556,-32.840556
Macrocystis,-71.502923,-32.848574
Macrocystis,-71.66733695,-33.33398696
Macrocystis,-71.674728,-33.451936
Macrocystis,-71.67005521,-33.626937
Macrocystis,18.433333,-33.716667
Macrocystis,18.441397,-33.724076
Macrocystis,18.40974082,-33.724208
Macrocystis,18.4524,-33.79056
Macrocystis,18.45325,-33.79078
Macrocystis,18.45377,-33.79142
Macrocystis,18.451354,-33.883889
Macrocystis,18.448092,-33.890729
Macrocystis,18.412066,-33.898884
Macrocystis,18.358333,-33.966667
Macrocystis,18.36983,-33.97525
Macrocystis,18.361056,-33.980828
Macrocystis,18.331299,-34.132499
Macrocystis,18.319444,-34.141667
Macrocystis,18.371667,-34.199444
Macrocystis,18.37228,-34.200363
Macrocystis,18.432312,-34.270836
Macrocystis,18.474884,-34.350239
Macrocystis,18.471848,-34.358369
Macrocystis,18.894051,-34.372734
Macrocystis,19.1263,-34.41713
Macrocystis,137.868327,-34.769564
Macrocystis,18.466667,-34.791667
Macrocystis,137.796663,-34.910121
Macrocystis,138.469714,-35.108728
Macrocystis,138.445969,-35.33172164
Macrocystis,138.64052,-35.54255
Macrocystis,138.619163,-35.551785
Macrocystis,138.680829,-35.593451
Macrocystis,138.468887,-35.631509
Macrocystis,138.325,-35.640121
Macrocystis,137.741952,-35.856795
Macrocystis,-72.91826721,-36.484009
Macrocystis,-72.979066,-36.594805
Macrocystis,-72.97817,-36.59536
Macrocystis,-73.10899,-36.713244
Macrocystis,-73.002091,-36.738078
Macrocystis,-73.212193,-36.772774
Macrocystis,-73.21182778,-36.77313333
Macrocystis,139.691728,-36.944154
Macrocystis,139.72501,-37.083
Macrocystis,139.722782,-37.087619
Macrocystis,139.726371,-37.090209
Macrocystis,-73.586043,-37.148119
Macrocystis,139.762303,-37.160196
Macrocystis,139.761116,-37.161786
Macrocystis,139.751116,-37.165397
Macrocystis,139.756672,-37.191508
Macrocystis,139.77889,-37.206901
Macrocystis,139.854173,-37.33123
Macrocystis,139.917505,-37.337341
Macrocystis,140.017696,-37.483568
Macrocystis,149.765164,-37.573095
Macrocystis,148.88717,-37.790319
Macrocystis,149.266,-37.7958
Macrocystis,140.374821,-37.898479
Macrocystis,144.9833,-37.9167
Macrocystis,144.79829,-37.922025
Macrocystis,140.662507,-38.06095
Macrocystis,144.60325,-38.265546
Macrocystis,144.61741,-38.27356
Macrocystis,144.610556,-38.281667
Macrocystis,144.617742,-38.282028
Macrocystis,144.617742,-38.282029
Macrocystis,144.613553,-38.284813
Macrocystis,144.614722,-38.291667
Macrocystis,144.4958,-38.2917
Macrocystis,144.613575,-38.292307
Macrocystis,144.615278,-38.293056
Macrocystis,144.717,-38.3173
Macrocystis,144.333555,-38.322185
Macrocystis,144.69143,-38.32967
Macrocystis,141.6075,-38.332054
Macrocystis,144.7333,-38.3333
Macrocystis,144.727185,-38.345917
Macrocystis,144.739963,-38.346195
Macrocystis,141.447781,-38.382334
Macrocystis,145.117737,-38.398692
Macrocystis,142.469158,-38.401949
Macrocystis,142.469,-38.4038
Macrocystis,141.66889,-38.409277
Macrocystis,-73.907034,-38.412466
Macrocystis,141.997775,-38.413162
Macrocystis,141.995275,-38.414274
Macrocystis,144.196,-38.4164
Macrocystis,144.7833,-38.4167
Macrocystis,144.888606,-38.496586
Macrocystis,145.11,-38.5176
Macrocystis,145.223,-38.5288
Macrocystis,145.334402,-38.548691
Macrocystis,143.976454,-38.555618
Macrocystis,145.352623,-38.55837
Macrocystis,142.82676,-38.581393
Macrocystis,142.991427,-38.621062
Macrocystis,145.654,-38.6789
Macrocystis,143.661889,-38.78247
Macrocystis,146.001065,-38.848687
Macrocystis,145.998287,-38.861187
Macrocystis,146.469,-39.0642
Macrocystis,146.23223,-39.08323
Macrocystis,147.0213,-39.208485
Macrocystis,146.991302,-39.208486
